Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2016,17,6.908107473,6.94598,7.26993,51027,3398,127
2016,18,6.812818162,6.84162,7.16534,51271,3402,91
2016,19,6.498039216,6.73419,7.05767,51000,3240,74
2016,20,6.586351748,6.62518,6.94843,50468,3290,34
2016,21,6.393218593,6.51611,6.83912,50491,3198,30
2016,22,6.119246862,6.40849,6.73127,49712,3025,17
2016,23,6.394615061,6.30381,6.62635,49917,3175,17
2016,24,5.886595873,6.20352,6.52583,49910,2920,18
2016,25,5.817866715,6.109,6.43106,49623,2875,12
2016,26,5.877741371,6.02154,6.34336,49747,2914,10
2016,27,5.883299799,5.94232,6.26391,49700,2914,10
2016,28,5.906883978,5.87243,6.19378,49637,2926,6
2016,29,5.625228297,5.81279,6.1339,49278,2767,5
2016,30,5.652025192,5.76417,6.08505,49699,2804,5
2016,31,5.754857997,5.72722,6.04785,49506,2847,2
2016,32,5.687346709,5.70236,6.02276,49742,2827,2
2016,33,5.763787115,5.68989,6.01004,49811,2866,5
2016,34,5.721729647,5.68989,6.0098,49513,2827,6
2016,35,5.796458392,5.70228,6.02195,49582,2869,5
2016,36,5.762434359,5.72679,6.04623,50083,2881,5
2016,37,6.211441391,5.76299,6.08219,49924,3093,8
2016,38,6.065830093,5.81027,6.12922,49886,3017,9
2016,39,5.961121391,5.86785,6.18656,50259,2985,11
2016,40,5.913936659,5.93482,6.25329,51404,3022,18
2016,41,6.146173029,6.01014,6.32836,52130,3193,11
2016,42,6.191318547,6.09262,6.41061,51443,3178,7
2016,43,6.065747614,6.181,6.49875,51865,3129,17
2016,44,6.020907001,6.27393,6.59143,51753,3100,16
2016,45,6.141870159,6.36997,6.68723,52541,3208,19
2016,46,5.983913206,6.46768,6.7847,53460,3192,7
2016,47,6.167823486,6.56556,6.88234,53163,3257,22
2016,48,6.499880955,6.66213,6.97866,54601,3515,34
2016,49,6.616500453,6.75593,7.07222,55150,3616,33
2016,50,6.831898861,6.84554,7.16158,56002,3780,46
2016,51,6.750801988,6.92959,7.24539,56734,3738,92
2016,52,7.397250764,7.00681,7.32237,57616,4105,157
2017,1,8.101592191,7.07603,7.39134,59729,4550,289
2017,2,7.974926568,7.13618,7.45125,60941,4492,368
2017,3,8.412382271,7.18635,7.50118,59246,4610,374
2017,4,8.2451119,7.22576,7.54034,57998,4415,367
2017,5,8.217957505,7.25377,7.56811,58360,4445,351
2017,6,8.242037785,7.26995,7.58404,58966,4441,419
2017,7,8.472341154,7.27399,7.58784,58390,4404,543
2017,8,8.517691515,7.2658,7.5794,58220,4353,606
2017,9,8.35596041,7.24544,7.5588,57085,4235,535
2017,10,8.168802072,7.21317,7.52628,57132,4198,469
2017,11,7.893898077,7.16938,7.48225,56474,4082,376
2017,12,7.724499305,7.11468,7.4273,56871,4074,319
2017,13,7.570044562,7.0498,7.36218,55429,3868,328
2017,14,7.383785557,6.97563,7.28776,54877,3788,264
2017,15,7.245212756,6.89318,7.20506,54781,3761,208
2017,16,6.864021434,6.8036,7.11523,53001,3475,163
